cliente.abandono,cliente.genero,cliente.adulto_mayor,cliente.tiene_pareja,cliente.dependientes,cliente.antiguedad_meses,telefono.servicio,telefono.lineas_multiples,internet.tipo_servicio,internet.seguridad_en_linea,internet.respaldo_en_linea,internet.proteccion_dispositivo,internet.soporte_tecnico,internet.tv_streaming,internet.peliculas_streaming,cuenta.tipo_contrato,cuenta.facturacion_sin_papel,cuenta.metodo_pago,cuenta.cargo_mensual,cuenta.cargo_total,Cuentas.diarias,Cuentas.Prom.Periodo
0,Male,0,0,1,6,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,98.35,0.6733333333333333,16.391666666666666
0,Female,1,1,1,32,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,Yes,Month-to-month,1,Electronic check,100.4,3217.65,3.3466666666666667,100.5515625
0,Female,0,1,0,68,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Electronic check,91.7,6424.7,3.056666666666666,94.48088235294118
1,Female,0,1,1,33,Yes,No,Fiber optic,No,No,Yes,False,Yes,Yes,One year,1,Electronic check,93.8,3124.5,3.1266666666666665,94.6818181818182
0,Female,0,0,0,63,Yes,Yes,Fiber optic,No,Yes,Yes,True,Yes,Yes,Month-to-month,1,Credit card (automatic),109.85,7002.95,3.661666666666666,111.15793650793653
0,Male,0,1,0,53,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Credit card (automatic),19.9,1110.05,0.6633333333333333,20.944339622641508
1,Male,1,0,0,18,Yes,Yes,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,3.181666666666666,97.36388888888888
0,Female,1,0,0,6,Yes,No,Fiber optic,Yes,No,No,False,No,No,Month-to-month,1,Electronic check,74.1,450.9,2.47,75.14999999999999
0,Female,1,1,1,59,Yes,Yes,Fiber optic,No,No,Yes,False,No,Yes,Month-to-month,1,Credit card (automatic),88.75,5348.65,2.958333333333333,90.65508474576272
1,Male,0,0,0,1,Yes,No,DSL,No,No,Yes,False,No,No,Month-to-month,1,Mailed check,49.65,49.65,1.655,49.65
0,Male,0,0,0,48,Yes,Yes,DSL,Yes,No,No,True,No,Yes,One year,1,Bank transfer (automatic),70.95,3629.2,2.365,75.60833333333333
0,Male,0,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,19.2,19.2,0.64,19.2
0,Female,0,0,0,37,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,1,Electronic check,100.05,3810.55,3.335,102.98783783783784
0,Male,0,0,0,27,Yes,Yes,DSL,No,No,No,False,No,No,Month-to-month,0,Mailed check,49.0,1291.35,1.6333333333333333,47.827777777777776
1,Female,0,1,1,14,Yes,No,Fiber optic,No,Yes,No,True,No,Yes,Month-to-month,1,Credit card (automatic),89.65,1208.35,2.9883333333333337,86.31071428571428
0,Male,0,0,0,72,Yes,No,DSL,Yes,Yes,Yes,True,Yes,No,Two year,1,Bank transfer (automatic),75.1,5336.35,2.503333333333333,74.11597222222223
1,Female,0,0,0,3,Yes,No,Fiber optic,No,No,No,False,Yes,No,Month-to-month,1,Electronic check,79.4,244.65,2.646666666666667,81.55
0,Female,0,1,1,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,False,Yes,Yes,One year,1,Credit card (automatic),108.15,7930.55,3.605,113.29357142857144
0,Male,0,1,0,12,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0.66,16.854166666666668
0,Male,0,0,0,23,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Mailed check,20.45,481.1,0.6816666666666666,20.917391304347827
0,Female,0,1,1,23,Yes,Yes,DSL,No,Yes,No,True,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1652.1,2.316666666666667,71.83043478260869
0,Female,0,0,0,40,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,No,Month-to-month,1,Bank transfer (automatic),93.4,3756.4,3.1133333333333337,93.91
0,Male,0,0,0,11,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,0,Credit card (automatic),45.2,492.0,1.5066666666666668,44.72727272727273
0,Male,0,0,0,42,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,849.9,0.66,20.235714285714284
1,Male,0,1,1,34,Yes,No,Fiber optic,No,No,No,False,Yes,No,Month-to-month,0,Electronic check,78.3,2564.3,2.61,75.42058823529412
0,Female,0,0,1,12,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,76.6,893.0,2.553333333333333,74.41666666666667
0,Female,0,1,0,71,Yes,Yes,Fiber optic,Yes,Yes,No,False,Yes,No,One year,0,Mailed check,95.65,6856.95,3.188333333333333,96.57676056338028
0,Male,0,1,1,39,No,No phone service,DSL,No,No,No,False,No,No,One year,1,Credit card (automatic),25.25,947.75,0.8416666666666667,24.30128205128205
0,Female,0,1,1,58,Yes,Yes,DSL,No,Yes,No,False,Yes,No,Month-to-month,1,Bank transfer (automatic),66.8,3970.4,2.2266666666666666,68.45517241379311
0,Female,0,1,1,61,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Credit card (automatic),19.1,1143.8,0.6366666666666667,18.750819672131147
0,Male,1,1,0,19,Yes,No,DSL,Yes,No,Yes,False,Yes,No,Month-to-month,0,Bank transfer (automatic),66.4,1286.05,2.2133333333333334,67.68684210526315
0,Male,0,0,0,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,False,Yes,Yes,One year,1,Electronic check,107.75,6521.9,3.591666666666667,106.91639344262296
1,Male,0,0,0,12,Yes,No,DSL,No,No,No,True,Yes,No,One year,1,Electronic check,59.8,727.8,1.9933333333333327,60.65
0,Female,0,1,1,16,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Mailed check,19.7,301.55,0.6566666666666666,18.846875
0,Male,0,0,0,60,Yes,No,DSL,Yes,Yes,Yes,False,No,No,Two year,0,Electronic check,61.4,3638.25,2.0466666666666664,60.6375
0,Male,0,1,0,52,Yes,Yes,DSL,No,Yes,No,True,No,No,Month-to-month,0,Bank transfer (automatic),61.35,3169.55,2.045,60.95288461538462
0,Female,0,0,0,17,Yes,Yes,DSL,No,No,Yes,True,Yes,No,Month-to-month,1,Mailed check,69.0,1108.0,2.3,65.17647058823529
1,Female,1,0,0,9,Yes,No,Fiber optic,No,No,No,False,Yes,No,Month-to-month,1,Electronic check,80.85,751.65,2.695,83.51666666666667
0,Female,0,0,0,63,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Mailed check,24.2,1618.2,0.8066666666666666,25.685714285714287
0,Female,1,0,0,46,Yes,No,Fiber optic,No,Yes,Yes,False,Yes,No,One year,1,Bank transfer (automatic),91.3,4126.35,3.043333333333333,89.70326086956523
0,Female,0,0,0,42,No,No phone service,DSL,Yes,Yes,Yes,True,No,Yes,One year,1,Electronic check,54.75,2348.45,1.825,55.91547619047618
0,Female,0,1,1,47,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Mailed check,19.75,948.9,0.6583333333333333,20.18936170212766
0,Male,0,1,0,51,Yes,Yes,Fiber optic,No,Yes,No,False,No,Yes,One year,1,Credit card (automatic),90.35,4614.55,3.0116666666666663,90.4813725490196
0,Male,0,1,1,45,Yes,No,DSL,Yes,No,No,True,No,No,Two year,0,Bank transfer (automatic),54.65,2553.7,1.8216666666666663,56.748888888888885
0,Male,0,1,1,53,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Credit card (automatic),20.2,1068.15,0.6733333333333333,20.15377358490566
1,Male,0,0,0,42,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,Yes,Month-to-month,1,Electronic check,101.75,4273.45,3.3916666666666666,101.74880952380953
1,Male,1,0,0,5,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,1,Electronic check,89.5,477.7,2.9833333333333334,95.54
0,Male,0,0,1,1,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Mailed check,19.3,19.3,0.6433333333333333,19.3
1,Male,0,1,0,54,Yes,No,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,0,Bank transfer (automatic),109.75,6110.2,3.658333333333333,113.15185185185184
1,Male,0,0,1,1,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Mailed check,19.45,19.45,0.6483333333333333,19.45
0,Female,0,0,0,2,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,0,Electronic check,44.45,82.7,1.481666666666667,41.35
0,Male,1,1,0,64,Yes,Yes,Fiber optic,No,Yes,Yes,False,No,Yes,Month-to-month,1,Electronic check,94.25,6081.4,3.1416666666666666,95.021875
0,Female,0,0,1,10,No,No phone service,DSL,Yes,Yes,No,True,No,No,One year,0,Mailed check,40.25,411.45,1.3416666666666666,41.145
0,Female,0,1,0,34,Yes,No,DSL,No,No,No,True,No,No,Month-to-month,0,Bank transfer (automatic),50.2,1815.3,1.6733333333333331,53.39117647058824
0,Female,1,0,0,32,Yes,No,Fiber optic,No,No,No,False,No,Yes,Month-to-month,1,Electronic check,79.5,2665.0,2.65,83.28125
1,Female,0,0,0,4,Yes,Yes,Fiber optic,No,Yes,No,True,No,Yes,Month-to-month,1,Electronic check,93.5,362.2,3.1166666666666667,90.55
0,Female,0,0,0,54,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,No,One year,1,Bank transfer (automatic),94.75,5121.75,3.158333333333333,94.84722222222224
1,Female,1,1,1,47,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,0,Bank transfer (automatic),70.55,3309.25,2.3516666666666666,70.40957446808511
0,Female,0,1,1,11,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Mailed check,25.0,300.7,0.8333333333333334,27.33636363636364
0,Male,0,1,1,8,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Mailed check,19.35,152.6,0.645,19.075
1,Male,0,0,0,1,No,No phone service,DSL,No,No,No,False,No,Yes,Month-to-month,1,Bank transfer (automatic),35.25,35.25,1.175,35.25
0,Male,0,1,1,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,0,Mailed check,115.85,6567.9,3.8616666666666655,117.28392857142856
0,Female,0,1,0,34,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Electronic check,24.7,780.2,0.8233333333333334,22.947058823529414
0,Male,0,1,0,1,Yes,No,Fiber optic,No,No,Yes,False,No,No,Month-to-month,0,Credit card (automatic),75.35,75.35,2.5116666666666663,75.35
1,Male,0,0,1,9,Yes,No,DSL,No,No,No,False,Yes,No,Month-to-month,0,Electronic check,55.35,449.75,1.845,49.97222222222222
0,Male,1,1,0,46,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,1,Electronic check,98.85,4564.9,3.295,99.23695652173912
0,Male,0,1,0,60,Yes,No,DSL,Yes,No,No,False,Yes,No,One year,1,Mailed check,59.8,3561.15,1.9933333333333327,59.3525
0,Male,1,1,0,22,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,1,Bank transfer (automatic),89.75,1938.9,2.9916666666666667,88.13181818181819
0,Male,0,0,0,39,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Mailed check,19.9,791.15,0.6633333333333333,20.28589743589744
0,Male,0,1,1,2,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,20.3,40.25,0.6766666666666666,20.125
0,Male,0,1,1,35,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Bank transfer (automatic),20.05,746.75,0.6683333333333333,21.335714285714285
0,Male,0,0,1,25,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,20.8,460.2,0.6933333333333334,18.408
1,Male,0,0,0,1,Yes,No,Fiber optic,No,No,No,False,Yes,No,Month-to-month,1,Electronic check,79.55,79.55,2.6516666666666664,79.55
0,Female,1,0,0,18,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Bank transfer (automatic),20.35,369.6,0.6783333333333333,20.53333333333333
0,Male,0,0,0,3,Yes,No,DSL,No,No,No,True,No,No,Month-to-month,1,Mailed check,50.5,147.75,1.6833333333333331,49.25
0,Male,0,0,1,66,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Credit card (automatic),19.95,1269.1,0.6649999999999999,19.22878787878788
0,Male,0,0,0,29,Yes,Yes,Fiber optic,No,No,No,False,No,Yes,Month-to-month,1,Electronic check,84.9,2516.2,2.83,86.7655172413793
0,Male,0,0,0,66,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Mailed check,25.1,1697.7,0.8366666666666667,25.722727272727276
0,Female,0,1,1,8,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,1,Electronic check,45.45,411.75,1.515,51.46875
0,Female,1,0,0,45,Yes,Yes,DSL,Yes,No,No,True,No,Yes,Month-to-month,1,Electronic check,70.05,3062.45,2.335,68.05444444444444
1,Female,1,0,0,1,No,No phone service,DSL,No,No,No,False,No,No,Month-to-month,1,Electronic check,25.2,25.2,0.84,25.2
0,Female,0,0,0,18,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,71.1,1247.75,2.37,69.31944444444444
1,Male,1,1,0,29,Yes,Yes,Fiber optic,No,Yes,Yes,False,No,Yes,Month-to-month,1,Electronic check,95.9,2745.2,3.1966666666666668,94.66206896551724
0,Male,0,1,1,72,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,0,Credit card (automatic),89.85,6562.9,2.995,91.15138888888887
0,Female,0,1,1,34,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,1,Bank transfer (automatic),20.1,682.1,0.67,20.061764705882357
0,Male,0,0,0,2,No,No phone service,DSL,No,No,No,False,No,No,Month-to-month,0,Mailed check,24.3,38.45,0.81,19.225
0,Female,1,1,0,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Bank transfer (automatic),114.65,8333.95,3.8216666666666663,115.74930555555557
0,Female,0,0,0,10,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Mailed check,20.55,187.35,0.685,18.735
0,Male,0,1,0,51,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,One year,1,Bank transfer (automatic),106.8,5498.8,3.56,107.81960784313726
0,Male,0,1,1,28,Yes,No,Fiber optic,No,No,Yes,False,Yes,No,Month-to-month,0,Electronic check,85.45,2289.9,2.8483333333333336,81.78214285714286
0,Female,0,0,0,13,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,1,Mailed check,20.4,261.3,0.6799999999999999,20.1
0,Female,0,0,1,2,Yes,No,DSL,Yes,No,No,False,No,Yes,Month-to-month,1,Credit card (automatic),61.2,125.95,2.04,62.975
1,Female,1,0,0,17,Yes,No,Fiber optic,No,Yes,Yes,False,Yes,No,Month-to-month,1,Electronic check,89.15,1496.9,2.9716666666666667,88.0529411764706
1,Female,0,0,0,1,Yes,No,DSL,Yes,No,No,False,No,No,Month-to-month,1,Credit card (automatic),48.6,48.6,1.62,48.6
0,Male,0,1,1,15,Yes,Yes,DSL,No,No,Yes,True,No,No,Month-to-month,1,Bank transfer (automatic),59.65,867.1,1.9883333333333333,57.806666666666665
0,Female,0,0,0,2,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,38.15,0.6649999999999999,19.075
0,Female,0,0,0,12,Yes,No,DSL,No,Yes,No,True,No,No,Month-to-month,1,Electronic check,54.3,654.5,1.81,54.54166666666666
1,Female,0,0,1,5,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,0,Mailed check,46.0,221.7,1.5333333333333334,44.34
0,Male,0,1,0,51,Yes,Yes,Fiber optic,Yes,Yes,No,False,No,Yes,One year,1,Credit card (automatic),96.4,4911.05,3.2133333333333334,96.29509803921567
0,Male,0,1,1,30,Yes,Yes,DSL,Yes,Yes,Yes,True,No,No,Month-to-month,0,Electronic check,67.6,2000.2,2.253333333333333,66.67333333333333
0,Female,0,1,1,64,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,1336.65,0.66,20.88515625
0,Female,0,1,0,72,Yes,Yes,Fiber optic,Yes,No,No,False,No,No,Two year,0,Bank transfer (automatic),80.45,5737.6,2.681666666666666,79.6888888888889
0,Female,0,0,0,5,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,25.45,134.75,0.8483333333333333,26.95
0,Male,0,1,1,72,No,No phone service,DSL,Yes,No,Yes,True,Yes,No,Two year,0,Mailed check,48.9,3527.0,1.63,48.98611111111112
0,Male,0,0,0,1,No,No phone service,DSL,No,No,No,True,No,No,Month-to-month,0,Mailed check,29.15,29.15,0.9716666666666666,29.15
0,Female,0,0,0,27,Yes,No,Fiber optic,No,No,Yes,True,No,Yes,Month-to-month,1,Electronic check,89.2,2383.6,2.9733333333333336,88.28148148148148
0,Female,0,1,1,72,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.05,1709.15,0.8016666666666666,23.73819444444445
1,Male,0,0,0,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,69.55,69.55,2.3183333333333334,69.55
0,Male,0,0,0,30,Yes,No,DSL,Yes,No,Yes,False,No,No,Two year,1,Mailed check,55.65,1653.85,1.855,55.12833333333333
0,Male,0,1,1,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,No,No,Two year,0,Credit card (automatic),94.55,6078.75,3.1516666666666664,93.51923076923076
0,Female,0,1,1,61,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Credit card (automatic),19.75,1311.6,0.6583333333333333,21.50163934426229
0,Male,0,1,1,62,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,No,Two year,1,Credit card (automatic),89.1,5411.65,2.97,87.28467741935484
0,Male,0,1,0,45,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,Month-to-month,1,Bank transfer (automatic),107.75,4882.8,3.591666666666667,108.50666666666667
1,Female,1,0,0,1,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,74.2,74.2,2.4733333333333336,74.2
0,Female,0,1,1,52,Yes,No,DSL,No,No,Yes,False,No,No,One year,1,Bank transfer (automatic),50.95,2610.65,1.6983333333333337,50.204807692307696
0,Male,0,1,1,24,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Mailed check,20.25,439.75,0.675,18.322916666666668
0,Female,0,0,0,70,No,No phone service,DSL,Yes,No,Yes,True,Yes,Yes,Two year,1,Bank transfer (automatic),58.35,4214.25,1.945,60.20357142857143
0,Female,0,1,1,39,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.85,854.8,0.6616666666666667,21.91794871794872
0,Male,0,0,0,42,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Electronic check,25.05,949.85,0.8350000000000001,22.61547619047619
0,Male,0,0,0,20,Yes,Yes,DSL,No,Yes,No,True,Yes,No,One year,1,Electronic check,68.7,1416.2,2.29,70.81
0,Male,0,1,0,72,Yes,Yes,Fiber optic,Yes,Yes,No,True,Yes,Yes,Two year,1,Credit card (automatic),109.95,7852.4,3.665,109.0611111111111
1,Male,0,1,1,50,Yes,Yes,Fiber optic,No,Yes,No,True,Yes,Yes,Month-to-month,0,Electronic check,103.7,5071.05,3.4566666666666666,101.421
0,Female,0,1,1,13,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Mailed check,20.85,272.35,0.6950000000000001,20.950000000000003
0,Female,1,1,1,22,Yes,Yes,Fiber optic,No,No,No,False,Yes,No,Month-to-month,0,Bank transfer (automatic),85.35,1961.6,2.845,89.16363636363636
0,Male,0,0,0,1,Yes,No,DSL,No,Yes,No,False,No,No,Month-to-month,1,Mailed check,50.15,50.15,1.6716666666666666,50.15
1,Female,1,0,0,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,70.15,70.15,2.3383333333333334,70.15
0,Female,0,1,0,7,Yes,No,DSL,Yes,No,No,False,No,No,Month-to-month,1,Bank transfer (automatic),50.3,355.1,1.6766666666666663,50.72857142857144
0,Female,0,0,0,8,Yes,No,DSL,Yes,No,No,False,Yes,No,Month-to-month,1,Electronic check,60.0,487.75,2.0,60.96875
0,Male,0,0,1,8,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,178.7,0.6783333333333333,22.3375
0,Male,0,1,1,64,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,1,Mailed check,24.8,1514.85,0.8266666666666667,23.66953125
0,Male,0,0,0,22,Yes,Yes,DSL,Yes,Yes,Yes,False,No,No,Month-to-month,0,Mailed check,65.05,1427.55,2.168333333333333,64.88863636363637
0,Female,0,0,0,26,No,No phone service,DSL,No,No,Yes,False,Yes,Yes,Month-to-month,1,Credit card (automatic),50.35,1277.5,1.6783333333333337,49.13461538461539
1,Male,0,1,1,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,70.0,70.0,2.333333333333333,70.0
0,Male,0,1,0,31,Yes,No,Fiber optic,No,No,Yes,False,Yes,Yes,One year,1,Electronic check,93.8,2939.8,3.1266666666666665,94.83225806451614
0,Female,1,0,0,4,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,91.45,0.6683333333333333,22.8625
0,Female,0,1,1,48,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057.0,0.6883333333333332,22.02083333333333
1,Female,1,1,0,40,No,No phone service,DSL,No,Yes,No,False,Yes,No,Month-to-month,1,Electronic check,39.3,1637.4,1.3099999999999998,40.935
0,Female,0,1,0,71,No,No phone service,DSL,Yes,Yes,Yes,True,Yes,Yes,One year,0,Bank transfer (automatic),66.8,4689.15,2.2266666666666666,66.0443661971831
0,Female,0,0,0,36,Yes,No,DSL,Yes,Yes,Yes,True,No,Yes,One year,1,Mailed check,75.55,2680.15,2.518333333333333,74.44861111111112
0,Male,0,1,1,1,Yes,No,Fiber optic,No,Yes,No,False,No,No,Month-to-month,0,Credit card (automatic),74.6,74.6,2.4866666666666664,74.6
1,Male,1,0,0,41,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,1,Electronic check,98.4,4187.75,3.28,102.14024390243902
0,Male,0,0,0,21,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.5,402.85,0.6833333333333333,19.183333333333334
1,Male,0,1,1,11,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,74.35,834.2,2.478333333333333,75.83636363636364
0,Female,0,0,0,58,Yes,Yes,Fiber optic,Yes,No,No,False,No,No,Month-to-month,1,Bank transfer (automatic),79.8,4526.85,2.66,78.0491379310345
1,Male,0,1,0,12,Yes,No,Fiber optic,Yes,No,No,True,No,No,Month-to-month,0,Bank transfer (automatic),80.85,866.45,2.695,72.20416666666667
0,Female,0,0,0,29,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Mailed check,20.35,617.35,0.6783333333333333,21.28793103448276
1,Female,0,1,0,2,Yes,Yes,Fiber optic,No,No,Yes,True,Yes,Yes,Month-to-month,1,Electronic check,104.4,242.8,3.48,121.4
0,Female,0,0,0,11,Yes,No,DSL,Yes,No,No,True,No,No,One year,1,Mailed check,54.6,617.85,1.82,56.16818181818182
1,Male,1,1,0,69,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,No,Month-to-month,1,Electronic check,89.95,6143.15,2.998333333333333,89.03115942028985
0,Male,1,1,1,64,Yes,Yes,Fiber optic,Yes,No,Yes,True,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,3.72,110.921875
1,Female,1,1,0,20,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,No,Month-to-month,0,Electronic check,90.8,1951.0,3.0266666666666664,97.55
1,Female,0,0,0,22,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,0,Electronic check,89.25,1907.85,2.975,86.72045454545454
0,Female,0,0,0,1,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,0,Credit card (automatic),43.95,43.95,1.465,43.95
0,Female,0,1,1,64,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Mailed check,90.6,5817.45,3.02,90.89765625
0,Female,0,1,1,39,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,1,Mailed check,24.2,914.6,0.8066666666666666,23.451282051282053
0,Female,0,0,0,39,Yes,No,DSL,No,Yes,No,False,Yes,No,One year,1,Credit card (automatic),58.6,2224.5,1.9533333333333331,57.03846153846154
1,Male,0,0,0,48,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,One year,1,Credit card (automatic),106.1,5082.8,3.536666666666666,105.89166666666668
1,Male,0,0,1,22,Yes,No,Fiber optic,No,Yes,Yes,False,Yes,No,Month-to-month,1,Electronic check,89.4,2001.5,2.98,90.97727272727272
0,Female,0,1,1,24,Yes,Yes,DSL,Yes,Yes,Yes,False,No,No,Two year,0,Electronic check,64.35,1558.65,2.145,64.94375000000001
0,Female,0,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,19.5,19.5,0.65,19.5
1,Male,1,0,0,10,Yes,No,Fiber optic,No,Yes,No,False,No,No,Month-to-month,1,Electronic check,72.85,688.65,2.428333333333333,68.865
0,Male,0,0,0,8,Yes,No,DSL,Yes,No,Yes,False,No,Yes,Month-to-month,1,Electronic check,66.7,579.0,2.2233333333333336,72.375
0,Female,0,1,0,36,Yes,No,Fiber optic,No,No,No,False,No,Yes,Month-to-month,0,Electronic check,80.4,2937.65,2.68,81.60138888888889
1,Female,0,0,0,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,0,Electronic check,70.5,70.5,2.35,70.5
0,Female,0,0,1,16,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,1,Bank transfer (automatic),19.3,360.35,0.6433333333333333,22.521875
1,Female,0,0,0,13,Yes,No,Fiber optic,No,Yes,Yes,False,No,No,Month-to-month,1,Electronic check,79.25,1111.65,2.6416666666666666,85.51153846153846
0,Male,0,1,1,7,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,0,Electronic check,44.75,333.65,1.4916666666666667,47.66428571428571
0,Female,0,0,0,41,Yes,Yes,DSL,No,No,Yes,True,No,Yes,One year,1,Electronic check,68.6,2877.05,2.286666666666666,70.1719512195122
