cliente.id,cliente.abandono,cliente.genero,cliente.adulto_mayor,cliente.tiene_pareja,cliente.dependientes,cliente.antiguedad_meses,telefono.servicio,telefono.lineas_multiples,internet.tipo_servicio,internet.seguridad_en_linea,internet.respaldo_en_linea,internet.proteccion_dispositivo,internet.soporte_tecnico,internet.tv_streaming,internet.peliculas_streaming,cuenta.tipo_contrato,cuenta.facturacion_sin_papel,cuenta.metodo_pago,cuenta.cargo_mensual,cuenta.cargo_total,Cuentas.diarias,Cuentas.Prom.Periodo
0906-QVPMS,False,Male,0,True,False,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,False,Bank transfer (automatic),115.15,8349.45,3.8383333333333334,115.96458333333334
0907-HQNTS,False,Female,1,True,False,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,True,Credit card (automatic),113.0,7987.6,3.7666666666666666,114.10857142857144
0909-SDHNU,False,Female,0,False,True,7,No,No phone service,DSL,Yes,No,No,False,No,No,Month-to-month,False,Mailed check,29.8,201.95,0.9933333333333334,28.849999999999998
0909-SELIE,False,Male,0,True,False,61,Yes,Yes,DSL,Yes,Yes,Yes,True,No,Yes,Two year,True,Bank transfer (automatic),80.8,4860.85,2.6933333333333334,79.68606557377049
0913-XWSCN,False,Male,0,True,True,55,Yes,Yes,Fiber optic,No,No,No,False,No,Yes,Month-to-month,False,Bank transfer (automatic),85.5,4713.4,2.85,85.69818181818181
0916-KNFAJ,False,Male,0,True,False,61,Yes,Yes,DSL,Yes,No,Yes,False,No,Yes,Two year,True,Mailed check,69.9,4226.7,2.33,69.29016393442623
0916-QOFDP,False,Female,1,True,True,14,Yes,Yes,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,True,Electronic check,95.8,1346.3,3.1933333333333334,96.16428571428571
0917-EZOLA,True,Male,1,True,False,72,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,Two year,True,Bank transfer (automatic),104.15,7689.95,3.4716666666666667,106.80486111111111
0921-OHLVP,False,Male,0,False,False,22,Yes,Yes,Fiber optic,No,No,No,False,No,Yes,Month-to-month,False,Electronic check,83.05,1799.3,2.768333333333333,81.78636363636363
0923-PNFUB,True,Female,0,False,False,3,Yes,No,Fiber optic,No,Yes,No,False,Yes,No,Month-to-month,False,Electronic check,83.75,247.25,2.7916666666666665,82.41666666666667
0924-BJCRC,False,Female,1,True,False,60,Yes,Yes,Fiber optic,No,Yes,No,False,No,Yes,Month-to-month,False,Electronic check,89.45,5294.6,2.981666666666667,88.24333333333334
0925-VYDLG,True,Female,0,False,False,3,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,False,Electronic check,75.25,242.0,2.5083333333333333,80.66666666666667
0927-CNGRH,False,Male,0,False,True,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.55,19.55,0.6516666666666667,19.55
0927-LCSMG,True,Male,0,False,False,7,Yes,No,Fiber optic,No,No,Yes,False,No,No,Month-to-month,False,Mailed check,74.65,544.55,2.4883333333333337,77.79285714285713
0928-JMXNP,False,Male,1,True,False,4,No,No phone service,DSL,No,No,Yes,False,No,No,Month-to-month,True,Electronic check,29.9,118.25,0.9966666666666666,29.5625
0928-XUTSN,False,Female,0,False,False,13,Yes,No,Fiber optic,No,No,No,False,No,Yes,Month-to-month,True,Electronic check,80.5,1011.8,2.683333333333333,77.83076923076922
0929-HYQEW,False,Male,0,False,False,3,Yes,No,DSL,Yes,No,No,False,No,No,Month-to-month,True,Mailed check,50.15,160.85,1.6716666666666666,53.61666666666667
0929-PECLO,False,Female,1,False,False,63,Yes,Yes,Fiber optic,No,No,Yes,False,No,Yes,Month-to-month,True,Bank transfer (automatic),89.6,5538.8,2.9866666666666664,87.91746031746032
0930-EHUZA,False,Female,0,False,False,36,Yes,No,DSL,Yes,Yes,Yes,True,Yes,No,One year,True,Mailed check,76.35,2606.35,2.545,72.39861111111111
0931-MHTEM,False,Female,0,False,False,54,Yes,No,Fiber optic,Yes,Yes,No,False,Yes,Yes,One year,True,Credit card (automatic),100.05,5299.65,3.335,98.14166666666667
0932-YIXYU,False,Female,0,False,False,47,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),20.25,1029.8,0.675,21.91063829787234
0936-NQLJU,False,Female,0,True,False,41,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),20.65,875.55,0.6883333333333332,21.35487804878049
0939-EREMR,False,Female,0,False,True,13,Yes,No,DSL,No,No,Yes,True,No,No,Month-to-month,False,Mailed check,53.45,718.1,1.7816666666666667,55.23846153846154
0939-YAPAF,True,Female,0,False,False,35,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,True,Electronic check,100.25,3527.6,3.341666666666667,100.78857142857143
0940-OUQEC,True,Male,0,False,False,10,Yes,Yes,Fiber optic,No,Yes,No,False,No,No,Month-to-month,True,Bank transfer (automatic),80.7,788.8,2.69,78.88
0942-KOWSM,False,Female,0,True,True,30,Yes,No,DSL,No,Yes,Yes,True,Yes,Yes,Two year,False,Bank transfer (automatic),80.8,2369.3,2.6933333333333334,78.97666666666667
0943-ZQPXH,False,Male,0,True,True,44,Yes,No,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,True,Bank transfer (automatic),92.95,4122.9,3.0983333333333336,93.70227272727271
0945-TSONX,False,Female,0,True,True,47,Yes,Yes,DSL,Yes,Yes,No,True,Yes,Yes,Two year,True,Credit card (automatic),85.3,4107.25,2.8433333333333333,87.38829787234043
0946-CLJTI,True,Male,1,True,False,58,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,True,Electronic check,98.7,5812.6,3.29,100.21724137931035
0946-FKYTX,False,Male,0,False,False,52,No,No phone service,DSL,No,Yes,No,False,No,No,One year,False,Mailed check,30.1,1623.4,1.0033333333333334,31.21923076923077
0947-IDHRQ,True,Female,0,False,False,7,Yes,No,Fiber optic,No,No,No,False,Yes,No,Month-to-month,True,Mailed check,80.3,526.7,2.6766666666666667,75.24285714285715
0947-MUGVO,True,Male,1,True,False,20,Yes,No,Fiber optic,No,Yes,No,False,No,No,Month-to-month,True,Electronic check,73.65,1463.5,2.455,73.175
0952-KMEEH,True,Male,0,False,False,13,Yes,Yes,Fiber optic,Yes,No,No,False,Yes,Yes,Month-to-month,False,Mailed check,98.15,1230.25,3.271666666666667,94.63461538461539
0953-LGOVU,False,Male,0,True,True,12,No,No phone service,DSL,No,Yes,No,True,No,No,Month-to-month,False,Mailed check,35.5,432.25,1.1833333333333333,36.020833333333336
0956-ACVZC,False,Female,0,False,False,54,Yes,No,Fiber optic,No,No,Yes,False,Yes,Yes,One year,True,Credit card (automatic),94.1,5060.9,3.1366666666666663,93.72037037037036
0956-SYCWG,False,Female,0,False,False,13,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Electronic check,19.65,244.8,0.6549999999999999,18.83076923076923
0958-YHXGP,False,Female,0,False,False,7,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Mailed check,69.9,497.3,2.33,71.04285714285714
0959-WHOKV,False,Male,0,False,False,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,False,No,Yes,One year,True,Electronic check,99.0,4298.45,3.3,102.34404761904761
0960-HUWBM,False,Male,0,True,True,65,Yes,Yes,Fiber optic,No,No,Yes,True,Yes,Yes,Two year,True,Bank transfer (automatic),104.1,6700.05,3.4699999999999998,103.07769230769232
0961-ZWLVI,False,Male,0,False,True,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,False,Yes,Yes,One year,True,Credit card (automatic),109.2,5290.45,3.64,107.96836734693878
0962-CQPWQ,False,Female,0,True,True,62,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.3,1296.15,0.6766666666666666,20.905645161290323
0963-ZBDRN,True,Male,0,False,False,32,Yes,No,Fiber optic,No,No,No,True,Yes,Yes,Month-to-month,True,Electronic check,96.2,3183.4,3.2066666666666666,99.48125
0967-BMLBD,False,Female,0,True,True,11,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,True,Mailed check,20.0,196.35,0.6666666666666666,17.849999999999998
0968-GSIKN,True,Female,0,False,False,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Mailed check,70.8,70.8,2.36,70.8
0969-RGKCU,False,Male,0,True,True,37,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Credit card (automatic),19.8,677.05,0.66,18.298648648648648
0970-ETWGE,True,Male,0,False,False,1,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,True,Electronic check,89.55,89.55,2.985,89.55
0970-QXPXW,False,Female,0,False,False,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.65,19.65,0.6549999999999999,19.65
0971-QIFJK,False,Female,0,True,False,69,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Bank transfer (automatic),24.25,1641.8,0.8083333333333333,23.794202898550726
0973-KYVNF,False,Female,0,True,True,72,Yes,No,DSL,Yes,Yes,Yes,False,Yes,No,Two year,True,Credit card (automatic),70.65,5011.15,2.355,69.59930555555555
0975-UYDTX,False,Female,0,True,False,26,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,One year,True,Credit card (automatic),90.1,2312.55,3.003333333333333,88.94423076923077
0975-VOOVL,False,Female,0,False,False,3,No,No phone service,DSL,No,Yes,No,False,No,No,Month-to-month,False,Mailed check,29.2,98.5,0.9733333333333333,32.833333333333336
0979-MOZQI,False,Male,0,True,False,62,No,No phone service,DSL,No,No,No,True,Yes,No,Two year,True,Bank transfer (automatic),39.0,2337.45,1.3,37.7008064516129
0979-PHULV,True,Male,0,True,True,69,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,True,Credit card (automatic),99.45,7007.6,3.315,101.55942028985508
0980-FEXWF,False,Male,0,True,True,26,Yes,No,DSL,No,No,Yes,False,No,No,One year,False,Mailed check,50.35,1285.8,1.6783333333333335,49.45384615384615
0980-PVMRC,False,Female,0,True,True,40,No,No phone service,DSL,No,Yes,No,False,Yes,Yes,Month-to-month,True,Electronic check,50.85,2036.55,1.695,50.91375
0983-TATYJ,False,Female,0,True,False,33,Yes,No,DSL,No,No,No,True,No,No,One year,True,Mailed check,51.45,1758.9,1.715,53.300000000000004
0988-AADSA,False,Female,0,True,True,72,Yes,Yes,DSL,Yes,Yes,Yes,True,No,Yes,Two year,False,Bank transfer (automatic),80.85,5824.75,2.695,80.89930555555556
0988-JRWWP,False,Female,0,False,False,3,Yes,No,DSL,No,No,No,False,Yes,No,Month-to-month,True,Electronic check,54.2,140.4,1.8066666666666669,46.800000000000004
0991-BRRFB,True,Male,0,False,False,18,Yes,No,DSL,Yes,No,No,False,No,No,Month-to-month,False,Electronic check,49.4,874.8,1.6466666666666667,48.599999999999994
0993-OSGPT,False,Female,1,True,False,68,Yes,No,DSL,No,Yes,Yes,True,No,No,One year,True,Bank transfer (automatic),60.65,3975.9,2.0216666666666665,58.46911764705882
0997-YTLNY,False,Female,0,False,True,19,Yes,No,DSL,No,No,No,True,No,No,Month-to-month,False,Mailed check,48.8,953.65,1.6266666666666665,50.19210526315789
0999-QXNSA,False,Male,1,False,True,7,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,True,Mailed check,45.75,344.2,1.525,49.17142857142857
1000-AJSLD,True,Male,0,False,False,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,True,Mailed check,20.1,20.1,0.67,20.1
1004-NOZNR,False,Male,1,False,True,56,Yes,No,Fiber optic,Yes,No,No,False,Yes,Yes,One year,False,Credit card (automatic),94.8,5264.3,3.1599999999999997,94.00535714285715
1009-IRMNA,True,Female,0,False,False,7,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),20.0,137.6,0.6666666666666666,19.657142857142855
1010-DIAUQ,True,Male,0,False,False,5,Yes,No,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,False,Bank transfer (automatic),96.5,492.55,3.216666666666667,98.51
1013-QCWAM,False,Female,1,True,False,66,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,Yes,Month-to-month,True,Electronic check,100.8,6690.75,3.36,101.375
1015-JPFYW,False,Male,0,False,True,7,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Mailed check,19.45,136.75,0.6483333333333333,19.535714285714285
1015-OWJKI,False,Male,0,False,False,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.05,19.05,0.635,19.05
1016-DJTSV,False,Male,1,False,False,8,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Electronic check,69.7,572.85,2.3233333333333333,71.60625
1017-FBQMM,False,Female,0,True,True,62,Yes,Yes,Fiber optic,No,Yes,No,True,Yes,Yes,One year,True,Credit card (automatic),106.05,6703.5,3.5349999999999997,108.12096774193549
1020-JPQOW,False,Female,0,True,False,56,Yes,Yes,Fiber optic,No,Yes,Yes,True,No,No,Month-to-month,False,Electronic check,90.55,5116.6,3.018333333333333,91.36785714285715
1022-RKXDR,False,Female,0,False,False,41,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,True,Mailed check,24.85,962.25,0.8283333333333334,23.46951219512195
1023-BQXZE,False,Male,0,False,False,57,Yes,No,DSL,Yes,No,Yes,False,Yes,Yes,Two year,True,Bank transfer (automatic),74.35,4317.35,2.478333333333333,75.74298245614035
1024-GUALD,True,Female,0,True,False,1,No,No phone service,DSL,No,No,No,False,No,No,Month-to-month,True,Electronic check,24.8,24.8,0.8266666666666667,24.8
1024-KPRBB,False,Female,0,False,False,38,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,One year,True,Mailed check,89.1,3342.0,2.9699999999999998,87.94736842105263
1024-VRZHF,True,Male,0,True,False,11,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Electronic check,74.95,825.7,2.4983333333333335,75.06363636363636
1025-FALIX,False,Female,0,False,False,26,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Credit card (automatic),69.05,1815.65,2.3016666666666667,69.83269230769231
1027-LKKQQ,False,Female,0,True,True,72,Yes,No,DSL,Yes,No,Yes,True,Yes,Yes,Two year,True,Bank transfer (automatic),80.45,5886.85,2.6816666666666666,81.76180555555555
1028-FFNJK,False,Male,1,True,False,30,Yes,Yes,Fiber optic,No,No,No,True,Yes,Yes,Month-to-month,True,Electronic check,101.5,2917.65,3.3833333333333333,97.25500000000001
1029-QFBEN,True,Male,0,False,False,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.55,19.55,0.6516666666666667,19.55
1031-IIDEO,True,Female,0,False,False,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Electronic check,70.85,70.85,2.3616666666666664,70.85
1032-MAELW,False,Female,0,True,True,68,Yes,Yes,DSL,Yes,Yes,Yes,True,No,Yes,One year,True,Electronic check,78.45,5333.35,2.615,78.43161764705883
1035-IPQPU,False,Female,1,True,False,63,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,Month-to-month,True,Electronic check,103.5,6479.4,3.45,102.84761904761905
1036-GUDCL,False,Male,0,True,True,60,Yes,No,DSL,Yes,Yes,No,True,Yes,Yes,Month-to-month,True,Credit card (automatic),79.05,4663.4,2.635,77.72333333333333
1038-RQOST,False,Male,0,True,True,19,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,20.6,414.95,0.6866666666666668,21.839473684210525
1038-ZAGBI,True,Female,0,True,True,12,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Bank transfer (automatic),19.8,229.6,0.66,19.133333333333333
1041-RXHRA,True,Female,0,False,False,41,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,False,Bank transfer (automatic),70.25,2868.05,2.341666666666667,69.95243902439024
1042-HFUCW,False,Female,0,False,True,25,Yes,No,DSL,No,Yes,No,True,No,No,One year,True,Credit card (automatic),54.75,1266.35,1.825,50.653999999999996
1043-UXOVO,False,Female,0,False,False,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,True,Credit card (automatic),113.15,7993.3,3.771666666666667,112.58169014084507
1043-YCUTE,True,Male,0,True,False,56,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,True,Credit card (automatic),25.15,1327.15,0.8383333333333333,23.699107142857144
1045-LTCYT,False,Female,0,True,True,8,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Credit card (automatic),21.05,139.75,0.7016666666666667,17.46875
1047-NNCBF,False,Male,0,False,False,20,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,False,Credit card (automatic),70.55,1493.55,2.3516666666666666,74.6775
1047-RNXZV,False,Male,0,False,False,43,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Mailed check,19.55,876.15,0.6516666666666667,20.375581395348835
1049-FYSYG,False,Female,0,True,False,17,No,No phone service,DSL,No,Yes,Yes,False,No,No,Month-to-month,True,Credit card (automatic),35.65,646.05,1.1883333333333332,38.002941176470586
1051-EQPZR,False,Female,0,True,True,44,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.6,780.25,0.6533333333333334,17.732954545454547
1051-GEJLJ,False,Female,0,False,False,2,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.5,27.55,0.65,13.775
1052-QJIBV,False,Female,0,True,True,71,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),19.9,1397.3,0.6633333333333333,19.680281690140845
1053-MXTTK,False,Female,0,True,True,72,Yes,No,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,True,Bank transfer (automatic),108.65,7726.35,3.621666666666667,107.31041666666667
1057-FOGLZ,False,Female,0,False,False,18,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.65,391.7,0.6549999999999999,21.76111111111111
1060-ENTOF,False,Female,1,True,False,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,No,Yes,One year,True,Credit card (automatic),105.4,7035.6,3.5133333333333336,105.0089552238806
1061-PNTHC,False,Female,0,True,True,56,Yes,Yes,Fiber optic,Yes,No,Yes,True,Yes,Yes,Month-to-month,True,Mailed check,109.6,5953.0,3.6533333333333333,106.30357142857143
1062-LHZOD,True,Male,0,True,True,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Mailed check,69.9,69.9,2.33,69.9
1063-DHQJF,False,Male,0,True,True,69,Yes,No,Fiber optic,No,Yes,No,True,Yes,No,Two year,True,Mailed check,92.15,6480.9,3.0716666666666668,93.92608695652173
1064-FBXNK,False,Male,0,True,True,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Credit card (automatic),19.85,19.85,0.6616666666666667,19.85
1066-JKSGK,True,Male,0,False,False,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,20.15,20.15,0.6716666666666666,20.15
1069-QJOEE,False,Male,0,True,True,25,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Electronic check,19.9,505.45,0.6633333333333333,20.218
1069-XAIEM,True,Female,1,False,False,1,Yes,Yes,Fiber optic,No,No,No,False,No,Yes,Month-to-month,True,Electronic check,85.05,85.05,2.835,85.05
1073-XXCZD,False,Male,0,True,False,55,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Bank transfer (automatic),25.7,1443.65,0.8566666666666667,26.24818181818182
1074-AMIOH,False,Female,0,True,True,53,Yes,No,Fiber optic,No,Yes,Yes,True,Yes,Yes,Month-to-month,True,Bank transfer (automatic),108.25,5935.1,3.6083333333333334,111.98301886792453
1074-WVEVG,False,Female,0,True,False,59,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Mailed check,20.35,1267.0,0.6783333333333333,21.47457627118644
1075-BGWOH,True,Male,1,True,False,16,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,True,Electronic check,98.75,1587.55,3.2916666666666665,99.221875
1077-HUUJM,False,Female,0,False,True,7,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Electronic check,71.05,472.65,2.368333333333333,67.52142857142857
1078-TDCRN,False,Female,1,True,False,3,No,No phone service,DSL,No,Yes,No,False,No,No,Month-to-month,True,Electronic check,30.75,82.85,1.025,27.616666666666664
1080-BWSYE,False,Male,1,True,False,64,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),25.65,1740.8,0.855,27.2
1084-MNSMJ,False,Female,0,True,True,51,Yes,No,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,False,Credit card (automatic),85.5,4421.95,2.85,86.70490196078431
1084-UQCHV,True,Male,0,False,True,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,False,Bank transfer (automatic),69.75,69.75,2.325,69.75
1085-LDWAM,False,Female,0,True,True,69,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,True,Credit card (automatic),20.35,1442.65,0.6783333333333333,20.907971014492755
1086-LXKFY,True,Female,0,True,True,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Mailed check,69.1,69.1,2.3033333333333332,69.1
1087-GRUYI,False,Male,0,True,False,38,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.4,743.5,0.6799999999999999,19.56578947368421
1087-UDSIH,True,Female,0,False,False,3,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,True,Mailed check,19.6,59.75,0.6533333333333334,19.916666666666668
1088-AUUZZ,False,Male,0,True,True,56,Yes,Yes,DSL,Yes,Yes,No,True,No,Yes,Two year,True,Credit card (automatic),75.85,4261.2,2.5283333333333333,76.09285714285714
1088-CNNKB,False,Male,0,True,False,63,Yes,Yes,DSL,Yes,Yes,Yes,True,No,Yes,One year,False,Credit card (automatic),80.0,5040.2,2.6666666666666665,80.0031746031746
1089-HDMKP,False,Male,1,False,True,11,Yes,No,DSL,No,Yes,No,True,No,No,Month-to-month,True,Electronic check,54.55,601.25,1.8183333333333331,54.65909090909091
1089-XZWHH,False,Female,0,True,True,24,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,True,Mailed check,19.7,494.05,0.6566666666666666,20.585416666666667
1090-ESELR,False,Male,0,True,True,72,Yes,No,Fiber optic,Yes,Yes,No,True,Yes,Yes,Two year,False,Bank transfer (automatic),105.5,7611.55,3.5166666666666666,105.71597222222222
1090-PYKCI,False,Female,0,True,True,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,No,One year,True,Credit card (automatic),105.1,7234.8,3.503333333333333,104.85217391304349
1091-SOZGA,False,Female,0,True,True,56,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,One year,True,Credit card (automatic),99.8,5515.45,3.3266666666666667,98.49017857142857
1092-GANHU,True,Male,0,False,False,17,Yes,No,Fiber optic,No,No,Yes,False,No,No,Month-to-month,True,Electronic check,76.65,1313.55,2.555,77.26764705882353
1092-WPIVQ,False,Female,0,True,True,18,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Mailed check,25.1,428.45,0.8366666666666667,23.802777777777777
1093-YSWCA,False,Male,0,False,False,11,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),19.55,223.15,0.6516666666666667,20.286363636363635
1094-BKOSX,False,Female,0,True,True,45,No,No phone service,DSL,No,Yes,Yes,True,No,Yes,One year,False,Bank transfer (automatic),51.0,2264.5,1.7,50.32222222222222
1095-JUDTC,True,Female,1,False,False,47,Yes,Yes,Fiber optic,No,Yes,No,True,Yes,No,Month-to-month,True,Electronic check,95.05,4504.55,3.1683333333333334,95.84148936170213
1095-WGNGG,False,Female,0,True,False,61,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,Yes,Two year,True,Bank transfer (automatic),101.05,5971.25,3.368333333333333,97.88934426229508
1096-ADRUX,False,Female,0,True,True,66,Yes,Yes,Fiber optic,No,No,No,False,No,No,One year,True,Bank transfer (automatic),74.25,4859.25,2.475,73.625
1097-FSPVW,False,Female,0,False,False,42,Yes,No,DSL,Yes,No,Yes,False,No,No,Month-to-month,False,Credit card (automatic),54.55,2455.05,1.8183333333333331,58.453571428571436
1098-KFQEC,False,Female,0,True,True,55,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),19.4,1083.0,0.6466666666666666,19.69090909090909
1098-TDVUQ,False,Female,0,False,False,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,True,Bank transfer (automatic),19.25,19.25,0.6416666666666667,19.25
1099-BTKWT,False,Female,0,True,False,68,No,No phone service,DSL,Yes,No,Yes,False,Yes,Yes,One year,True,Electronic check,54.4,3723.65,1.8133333333333332,54.75955882352941
1099-GODLO,False,Female,0,True,True,1,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Mailed check,20.35,20.35,0.6783333333333333,20.35
1100-DDVRV,False,Male,0,True,False,17,No,No phone service,DSL,No,Yes,No,False,Yes,Yes,Month-to-month,True,Mailed check,49.8,836.35,1.66,49.19705882352941
1101-SSWAG,False,Female,0,True,False,15,Yes,Yes,DSL,No,No,No,False,No,No,Month-to-month,True,Electronic check,51.1,711.15,1.7033333333333334,47.41
1104-FEJAM,False,Male,0,True,True,28,Yes,Yes,DSL,No,Yes,No,False,No,Yes,Month-to-month,False,Electronic check,64.4,1802.15,2.146666666666667,64.3625
1104-TNLZA,False,Male,1,True,False,28,Yes,Yes,Fiber optic,No,Yes,No,True,Yes,Yes,Month-to-month,True,Electronic check,105.8,2998.0,3.5266666666666664,107.07142857142857
1106-HRLKZ,False,Male,0,True,True,40,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Mailed check,19.6,808.95,0.6533333333333334,20.223750000000003
1110-KYLGQ,False,Female,0,False,False,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,False,Yes,Yes,Month-to-month,False,Credit card (automatic),108.25,6780.1,3.6083333333333334,107.62063492063493
1112-CUNAO,True,Female,1,False,False,15,Yes,Yes,Fiber optic,No,Yes,No,False,No,Yes,Month-to-month,False,Electronic check,89.85,1424.95,2.9949999999999997,94.99666666666667
1113-IUJYX,True,Female,0,True,False,14,Yes,No,Fiber optic,Yes,Yes,No,True,Yes,Yes,One year,False,Mailed check,105.95,1348.9,3.5316666666666667,96.35000000000001
1114-CENIM,True,Male,0,False,True,54,Yes,Yes,DSL,No,Yes,No,False,No,No,Month-to-month,True,Credit card (automatic),55.0,3092.65,1.8333333333333333,57.2712962962963
1116-DXXDF,False,Male,0,False,False,39,Yes,No,Fiber optic,Yes,No,Yes,False,Yes,Yes,Two year,True,Electronic check,100.45,3801.7,3.3483333333333336,97.47948717948718
